input,output
I have to help you,I HAVE TO HELP YOU
you repeat that please,YOU REPEAT THAT PLEASE
can you sir repeat that please,YOU SIR REPEAT THAT PLEASE
please you repeat that,PLEASE YOU REPEAT THAT
would you mind you repeat that,YOU MIND YOU REPEAT THAT
please comb your hair,PLEASE COMB YOUR HAIR
let me comb your hair,LET ME COMB YOUR HAIR
I want to comb your hair,I WANT TO COMB YOUR HAIR
please congratulations,PLEASE CONGRATULATIONS
I want to congratulations,I WANT TO CONGRATULATIONS
let me congratulations,LET ME CONGRATULATIONS
you please talk slower,YOU PLEASE TALK SLOWER
could you sir please talk slower,YOU SIR PLEASE TALK SLOWER
could you you please talk,YOU YOU PLEASE TALK
please you please talk,PLEASE YOU PLEASE TALK
me favour,ME FAVOUR
please do me a favour,PLEASE ME FAVOUR
I want to favour,I WANT TO FAVOUR
I have to favour,I HAVE TO FAVOUR
not abuse him,NOT ABUSE HIM
please do not abuse him,PLEASE NOT ABUSE HIM
not be stubborn,NOT BE STUBBORN
please do not be stubborn,PLEASE NOT BE STUBBORN
let me not stubborn,LET ME NOT STUBBORN
I want to not stubborn,I WANT TO NOT STUBBORN
not hurt me,NOT HURT ME
please do not hurt me,PLEASE NOT HURT ME
let me not hurt,LET ME NOT HURT
I have to not hurt,I HAVE TO NOT HURT
not make me angry,NOT MAKE ME ANGRY
please do not make me angry,PLEASE NOT MAKE ME ANGRY
I have to not make angry,I HAVE TO NOT MAKE ANGRY
I want to not make angry,I WANT TO NOT MAKE ANGRY
not take it to heart,NOT TAKE IT TO HEART
please do not take it to the heart,PLEASE NOT TAKE IT TO HEART
I need to not take heart,I NEED TO NOT TAKE HEART
I have to not take heart,I HAVE TO NOT TAKE HEART
not worry,NOT WORRY
please do not worry,PLEASE NOT WORRY
let me not worry,LET ME NOT WORRY
I need to not worry,I NEED TO NOT WORRY
you need something,YOU NEED SOMETHING
please do you need something,PLEASE YOU NEED SOMETHING
do you sir need something,YOU SIR NEED SOMETHING
please go and sleep,PLEASE GO AND SLEEP
I need to and sleep,I NEED TO AND SLEEP
let me and sleep,LET ME AND SLEEP
please had your food,PLEASE HAD YOUR FOOD
I want to had your food,I WANT TO HAD YOUR FOOD
let me had your food,LET ME HAD YOUR FOOD
please he came by train,PLEASE HE CAME BY TRAIN
let me came train,LET ME CAME TRAIN
I want to came train,I WANT TO CAME TRAIN
he going into room,HE GOING INTO ROOM
please he is going into the room,PLEASE HE GOING INTO ROOM
I have to going into room,I HAVE TO GOING INTO ROOM
I need to going into room,I NEED TO GOING INTO ROOM
he on way,HE ON WAY
please he is on the way,PLEASE HE ON WAY
I have to way,I HAVE TO WAY
I want to way,I WANT TO WAY
he she my friend,HE SHE MY FRIEND
please he she is my friend,PLEASE HE SHE MY FRIEND
let me she friend,LET ME SHE FRIEND
I have to she friend,I HAVE TO SHE FRIEND
he be coming today,HE BE COMING TODAY
please he would be coming today,PLEASE HE BE COMING TODAY
I want to coming today,I WANT TO COMING TODAY
I need to coming today,I NEED TO COMING TODAY
please help me,PLEASE HELP ME
I want to help,I WANT TO HELP
I have to help,I HAVE TO HELP
hi how you,HI HOW YOU
please hi how are you,PLEASE HI HOW YOU
hi how are you sir,HI HOW YOU SIR
how things,HOW THINGS
please how are things,PLEASE HOW THINGS
how i help you,HOW I HELP YOU
please how can i help you,PLEASE HOW I HELP YOU
how can i help you sir,HOW I HELP YOU SIR
what do you think about how help,WHAT YOU THINK ABOUT HOW HELP
explain how help to me,EXPLAIN HOW HELP TO ME
how i trust you,HOW I TRUST YOU
please how can i trust you,PLEASE HOW I TRUST YOU
how can i trust you sir,HOW I TRUST YOU SIR
tell me about how trust,TELL ME ABOUT HOW TRUST
can you describe how trust,YOU DESCRIBE HOW TRUST
please how dare you,PLEASE HOW DARE YOU
how dare you sir,HOW DARE YOU SIR
what do you think about how dare,WHAT YOU THINK ABOUT HOW DARE
can you describe how dare,YOU DESCRIBE HOW DARE
how old you,HOW OLD YOU
please how old are you,PLEASE HOW OLD YOU
how old are you sir,HOW OLD YOU SIR
tell me about how old,TELL ME ABOUT HOW OLD
can you describe how old,YOU DESCRIBE HOW OLD
i (age),I (AGE)
please i am (age),PLEASE I (AGE)
I want to (age),I WANT TO (AGE)
I need to (age),I NEED TO (AGE)
i afraid of that,I AFRAID OF THAT
please i am afraid of that,PLEASE I AFRAID OF THAT
I have to afraid that,I HAVE TO AFRAID THAT
I need to afraid that,I NEED TO AFRAID THAT
i crying,I CRYING
please i am crying,PLEASE I CRYING
I have to crying,I HAVE TO CRYING
I want to crying,I WANT TO CRYING
i feeling bored,I FEELING BORED
please i am feeling bored,PLEASE I FEELING BORED
I have to feeling bored,I HAVE TO FEELING BORED
I need to feeling bored,I NEED TO FEELING BORED
i feeling cold,I FEELING COLD
please i am feeling cold,PLEASE I FEELING COLD
I need to feeling cold,I NEED TO FEELING COLD
I have to feeling cold,I HAVE TO FEELING COLD
i fine. thank you sir,I FINE THANK YOU SIR
i am fine. thank you sir sir,I FINE THANK YOU SIR SIR
I have to fine. thank you,I HAVE TO FINE THANK YOU
let me fine. thank you,LET ME FINE THANK YOU
i hungry,I HUNGRY
please i am hungry,PLEASE I HUNGRY
I want to hungry,I WANT TO HUNGRY
I have to hungry,I HAVE TO HUNGRY
i in dilemma what to,I IN DILEMMA WHAT TO
please i am in dilemma what to do,PLEASE I IN DILEMMA WHAT TO
what do you think about dilemma what,WHAT YOU THINK ABOUT DILEMMA WHAT
explain dilemma what to me,EXPLAIN DILEMMA WHAT TO ME
i not really sure,I NOT REALLY SURE
please i am not really sure,PLEASE I NOT REALLY SURE
I need to not really sure,I NEED TO NOT REALLY SURE
I want to not really sure,I WANT TO NOT REALLY SURE
i really grateful,I REALLY GRATEFUL
please i am really grateful,PLEASE I REALLY GRATEFUL
let me really grateful,LET ME REALLY GRATEFUL
I need to really grateful,I NEED TO REALLY GRATEFUL
i sitting in class,I SITTING IN CLASS
please i am sitting in the class,PLEASE I SITTING IN CLASS
I have to sitting class,I HAVE TO SITTING CLASS
let me sitting class,LET ME SITTING CLASS
i so sorry to hear that,I SO SORRY TO HEAR THAT
I need to sorry hear that,I NEED TO SORRY HEAR THAT
I have to sorry hear that,I HAVE TO SORRY HEAR THAT
i suffering from fever,I SUFFERING FROM FEVER
please i am suffering from fever,PLEASE I SUFFERING FROM FEVER
I have to suffering from fever,I HAVE TO SUFFERING FROM FEVER
I want to suffering from fever,I WANT TO SUFFERING FROM FEVER
i tired,I TIRED
please i am tired,PLEASE I TIRED
I need to tired,I NEED TO TIRED
I want to tired,I WANT TO TIRED
i very happy,I VERY HAPPY
please i am very happy,PLEASE I VERY HAPPY
I have to very happy,I HAVE TO VERY HAPPY
I need to very happy,I NEED TO VERY HAPPY
i not help you there,I NOT HELP YOU THERE
please i can not help you there,PLEASE I NOT HELP YOU THERE
i can not help you sir there,I NOT HELP YOU SIR THERE
I have to not help you,I HAVE TO NOT HELP YOU
I want to not help you,I WANT TO NOT HELP YOU
i not agree,I NOT AGREE
please i do not agree,PLEASE I NOT AGREE
I need to not agree,I NEED TO NOT AGREE
I have to not agree,I HAVE TO NOT AGREE
i not like it,I NOT LIKE IT
please i do not like it,PLEASE I NOT LIKE IT
I have to not like,I HAVE TO NOT LIKE
I want to not like,I WANT TO NOT LIKE
i not mean it,I NOT MEAN IT
please i do not mean it,PLEASE I NOT MEAN IT
let me not mean,LET ME NOT MEAN
I need to not mean,I NEED TO NOT MEAN
please i dont agree,PLEASE I DONT AGREE
let me dont agree,LET ME DONT AGREE
I want to dont agree,I WANT TO DONT AGREE
i enjoyed lot,I ENJOYED LOT
please i enjoyed a lot,PLEASE I ENJOYED LOT
I have to enjoyed lot,I HAVE TO ENJOYED LOT
I want to enjoyed lot,I WANT TO ENJOYED LOT
please i got hurt,PLEASE I GOT HURT
I need to got hurt,I NEED TO GOT HURT
I have to got hurt,I HAVE TO GOT HURT
please i like you i love you,PLEASE I LIKE YOU I LOVE YOU
i like you sir i love you sir,I LIKE YOU SIR I LOVE YOU SIR
I have to like you love,I HAVE TO LIKE YOU LOVE
let me like you love,LET ME LIKE YOU LOVE
please i need water,PLEASE I NEED WATER
let me need water,LET ME NEED WATER
I have to need water,I HAVE TO NEED WATER
please i promise,PLEASE I PROMISE
let me promise,LET ME PROMISE
I need to promise,I NEED TO PROMISE
please i really appreciate it,PLEASE I REALLY APPRECIATE IT
I need to really appreciate,I NEED TO REALLY APPRECIATE
I want to really appreciate,I WANT TO REALLY APPRECIATE
please i somehow got to know about it,PLEASE I SOMEHOW GOT TO KNOW ABOUT IT
can you describe somehow got,YOU DESCRIBE SOMEHOW GOT
tell me about somehow got,TELL ME ABOUT SOMEHOW GOT
i stopped by some one,I STOPPED BY SOME ONE
please i was stopped by some one,PLEASE I STOPPED BY SOME ONE
I want to stopped some one,I WANT TO STOPPED SOME ONE
let me stopped some one,LET ME STOPPED SOME ONE
it not make any difference to me,IT NOT MAKE ANY DIFFERENCE TO ME
please it does not make any difference to me,PLEASE IT NOT MAKE ANY DIFFERENCE TO ME
I need to not make any,I NEED TO NOT MAKE ANY
I have to not make any,I HAVE TO NOT MAKE ANY
it nice chatting with you,IT NICE CHATTING WITH YOU
please it was nice chatting with you,PLEASE IT NICE CHATTING WITH YOU
it was nice chatting with you sir,IT NICE CHATTING WITH YOU SIR
I need to nice chatting with,I NEED TO NICE CHATTING WITH
I have to nice chatting with,I HAVE TO NICE CHATTING WITH
please let him take time,PLEASE LET HIM TAKE TIME
my name xxxxxxxx,MY NAME XXXXXXXX
please my name is xxxxxxxx,PLEASE MY NAME XXXXXXXX
I want to name xxxxxxxx,I WANT TO NAME XXXXXXXX
I need to name xxxxxxxx,I NEED TO NAME XXXXXXXX
please nice to meet you,PLEASE NICE TO MEET YOU
nice to meet you sir,NICE TO MEET YOU SIR
let me nice meet you,LET ME NICE MEET YOU
I have to nice meet you,I HAVE TO NICE MEET YOU
please no need to worry dont worry,PLEASE NO NEED TO WORRY DONT WORRY
let me need worry dont,LET ME NEED WORRY DONT
I have to need worry dont,I HAVE TO NEED WORRY DONT
please now onwards he will never hurt you,PLEASE NOW ONWARDS HE WILL NEVER HURT YOU
now onwards he will never hurt you sir,NOW ONWARDS HE WILL NEVER HURT YOU SIR
I have to now onwards will,I HAVE TO NOW ONWARDS WILL
let me now onwards will,LET ME NOW ONWARDS WILL
pour some more water into glass,POUR SOME MORE WATER INTO GLASS
please pour some more water into the glass,PLEASE POUR SOME MORE WATER INTO GLASS
I want to pour some more,I WANT TO POUR SOME MORE
I have to pour some more,I HAVE TO POUR SOME MORE
prepare bed,PREPARE BED
please prepare the bed,PLEASE PREPARE BED
I want to prepare bed,I WANT TO PREPARE BED
I have to prepare bed,I HAVE TO PREPARE BED
serve food,SERVE FOOD
please serve the food,PLEASE SERVE FOOD
I have to serve food,I HAVE TO SERVE FOOD
let me serve food,LET ME SERVE FOOD
please shall we go outside,PLEASE SHALL WE GO OUTSIDE
I have to shall outside,I HAVE TO SHALL OUTSIDE
I want to shall outside,I WANT TO SHALL OUTSIDE
please speak softly,PLEASE SPEAK SOFTLY
I have to speak softly,I HAVE TO SPEAK SOFTLY
I need to speak softly,I NEED TO SPEAK SOFTLY
please take care of yourself,PLEASE TAKE CARE OF YOURSELF
I need to take care yourself,I NEED TO TAKE CARE YOURSELF
let me take care yourself,LET ME TAKE CARE YOURSELF
please tell me truth,PLEASE TELL ME TRUTH
I want to tell truth,I WANT TO TELL TRUTH
I have to tell truth,I HAVE TO TELL TRUTH
thank you sir so much,THANK YOU SIR SO MUCH
I have to thank you much,I HAVE TO THANK YOU MUCH
let me thank you much,LET ME THANK YOU MUCH
that so kind of you,THAT SO KIND OF YOU
please that is so kind of you,PLEASE THAT SO KIND OF YOU
that is so kind of you sir,THAT SO KIND OF YOU SIR
I need to that kind you,I NEED TO THAT KIND YOU
I have to that kind you,I HAVE TO THAT KIND YOU
this place beautiful,THIS PLACE BEAUTIFUL
please this place is beautiful,PLEASE THIS PLACE BEAUTIFUL
please try to understand,PLEASE TRY TO UNDERSTAND
I have to try understand,I HAVE TO TRY UNDERSTAND
let me try understand,LET ME TRY UNDERSTAND
please turn on light turn off light,PLEASE TURN ON LIGHT TURN OFF LIGHT
I need to turn light turn,I NEED TO TURN LIGHT TURN
I want to turn light turn,I WANT TO TURN LIGHT TURN
we all with you,WE ALL WITH YOU
please we are all with you,PLEASE WE ALL WITH YOU
we are all with you sir,WE ALL WITH YOU SIR
I have to all with you,I HAVE TO ALL WITH YOU
I want to all with you,I WANT TO ALL WITH YOU
wear shirt,WEAR SHIRT
please wear the shirt,PLEASE WEAR SHIRT
what you doing,WHAT YOU DOING
please what are you doing,PLEASE WHAT YOU DOING
what are you sir doing,WHAT YOU SIR DOING
explain what you to me,EXPLAIN WHAT YOU TO ME
what do you think about what you,WHAT YOU THINK ABOUT WHAT YOU
what you tell him,WHAT YOU TELL HIM
please what did you tell him,PLEASE WHAT YOU TELL HIM
what did you sir tell him,WHAT YOU SIR TELL HIM
what you,WHAT YOU
please what do you do,PLEASE WHAT YOU
what do you sir do,WHAT YOU SIR
what you think,WHAT YOU THINK
please what do you think,PLEASE WHAT YOU THINK
what do you sir think,WHAT YOU SIR THINK
what you want to become,WHAT YOU WANT TO BECOME
please what do you want to become,PLEASE WHAT YOU WANT TO BECOME
what do you sir want to become,WHAT YOU SIR WANT TO BECOME
please what happened,PLEASE WHAT HAPPENED
tell me about what happened,TELL ME ABOUT WHAT HAPPENED
can you describe what happened,YOU DESCRIBE WHAT HAPPENED
please what have you planned for your career,PLEASE WHAT HAVE YOU PLANNED FOR YOUR CAREER
what have you sir planned for you sirr career,WHAT HAVE YOU SIR PLANNED FOR YOU SIRR CAREER
can you describe what have,YOU DESCRIBE WHAT HAVE
tell me about what have,TELL ME ABOUT WHAT HAVE
what your phone number,WHAT YOUR PHONE NUMBER
please what is your phone number,PLEASE WHAT YOUR PHONE NUMBER
what do you think about what your,WHAT YOU THINK ABOUT WHAT YOUR
tell me about what your,TELL ME ABOUT WHAT YOUR
please what you want,PLEASE WHAT YOU WANT
what you sir want,WHAT YOU SIR WANT
can you describe what you,YOU DESCRIBE WHAT YOU
when will train leave,WHEN WILL TRAIN LEAVE
please when will the train leave,PLEASE WHEN WILL TRAIN LEAVE
what do you think about when will,WHAT YOU THINK ABOUT WHEN WILL
can you describe when will,YOU DESCRIBE WHEN WILL
where you from,WHERE YOU FROM
please where are you from,PLEASE WHERE YOU FROM
where are you sir from,WHERE YOU SIR FROM
can you describe where you,YOU DESCRIBE WHERE YOU
tell me about where you,TELL ME ABOUT WHERE YOU
which college school you from,WHICH COLLEGE SCHOOL YOU FROM
please which college school are you from,PLEASE WHICH COLLEGE SCHOOL YOU FROM
which college school are you sir from,WHICH COLLEGE SCHOOL YOU SIR FROM
who you,WHO YOU
please who are you,PLEASE WHO YOU
who are you sir,WHO YOU SIR
explain who you to me,EXPLAIN WHO YOU TO ME
what do you think about who you,WHAT YOU THINK ABOUT WHO YOU
why you angry,WHY YOU ANGRY
please why are you angry,PLEASE WHY YOU ANGRY
why are you sir angry,WHY YOU SIR ANGRY
explain why you to me,EXPLAIN WHY YOU TO ME
what do you think about why you,WHAT YOU THINK ABOUT WHY YOU
why you crying,WHY YOU CRYING
please why are you crying,PLEASE WHY YOU CRYING
why are you sir crying,WHY YOU SIR CRYING
can you describe why you,YOU DESCRIBE WHY YOU
tell me about why you,TELL ME ABOUT WHY YOU
why you disappointed,WHY YOU DISAPPOINTED
please why are you disappointed,PLEASE WHY YOU DISAPPOINTED
why are you sir disappointed,WHY YOU SIR DISAPPOINTED
you bad,YOU BAD
please you are bad,PLEASE YOU BAD
you sir are bad,YOU SIR BAD
I want to you bad,I WANT TO YOU BAD
I need to you bad,I NEED TO YOU BAD
you good,YOU GOOD
please you are good,PLEASE YOU GOOD
you sir are good,YOU SIR GOOD
I want to you good,I WANT TO YOU GOOD
I have to you good,I HAVE TO YOU GOOD
you welcome,YOU WELCOME
please you are welcome,PLEASE YOU WELCOME
you sir are welcome,YOU SIR WELCOME
I need to you welcome,I NEED TO YOU WELCOME
I have to you welcome,I HAVE TO YOU WELCOME
you it,YOU IT
please you can do it,PLEASE YOU IT
you sir can do it,YOU SIR IT
I need to you,I NEED TO YOU
I want to you,I WANT TO YOU
"you anything, i not care",YOU ANYTHING I NOT CARE
"please you do anything, i do not care",PLEASE YOU ANYTHING I NOT CARE
"you sir do anything, i do not care",YOU SIR ANYTHING I NOT CARE
"you need medicine, take this one",YOU NEED MEDICINE TAKE THIS ONE
"please you need a medicine, take this one",PLEASE YOU NEED MEDICINE TAKE THIS ONE
"you sir need a medicine, take this one",YOU SIR NEED MEDICINE TAKE THIS ONE
